Covert Channel Experiment Results
=================================
bits: 3, delay: 0.0 s, msg_length: 21 bytes, avg_elapsed: 3.7131 s, avg_capacity: 45.28 bits/s, 95% CI: [43.37, 47.19] bits/s
bits: 3, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 8.7054 s, avg_capacity: 19.30 bits/s, 95% CI: [19.07, 19.53] bits/s
bits: 3, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 11.6185 s, avg_capacity: 14.46 bits/s, 95% CI: [14.28, 14.64] bits/s
bits: 3, delay: 0.0 s, msg_length: 75 bytes, avg_elapsed: 11.1668 s, avg_capacity: 53.74 bits/s, 95% CI: [52.66, 54.82] bits/s
bits: 3, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 29.5414 s, avg_capacity: 20.31 bits/s, 95% CI: [20.25, 20.37] bits/s
bits: 3, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 39.6026 s, avg_capacity: 15.15 bits/s, 95% CI: [15.09, 15.22] bits/s
bits: 3, delay: 0.0 s, msg_length: 141 bytes, avg_elapsed: 20.9134 s, avg_capacity: 53.94 bits/s, 95% CI: [53.14, 54.75] bits/s
bits: 3, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 55.2073 s, avg_capacity: 20.43 bits/s, 95% CI: [20.39, 20.47] bits/s
bits: 3, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 74.0659 s, avg_capacity: 15.23 bits/s, 95% CI: [15.18, 15.28] bits/s
bits: 3, delay: 0.0 s, msg_length: 299 bytes, avg_elapsed: 43.7885 s, avg_capacity: 54.63 bits/s, 95% CI: [53.99, 55.27] bits/s
bits: 3, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 116.5072 s, avg_capacity: 20.53 bits/s, 95% CI: [20.44, 20.62] bits/s
bits: 3, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 156.7475 s, avg_capacity: 15.26 bits/s, 95% CI: [15.23, 15.29] bits/s
bits: 8, delay: 0.0 s, msg_length: 21 bytes, avg_elapsed: 1.7384 s, avg_capacity: 96.66 bits/s, 95% CI: [94.39, 98.94] bits/s
bits: 8, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 3.6628 s, avg_capacity: 45.89 bits/s, 95% CI: [44.47, 47.30] bits/s
bits: 8, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 4.7371 s, avg_capacity: 35.47 bits/s, 95% CI: [35.10, 35.83] bits/s
bits: 8, delay: 0.0 s, msg_length: 75 bytes, avg_elapsed: 4.7400 s, avg_capacity: 126.74 bits/s, 95% CI: [120.09, 133.39] bits/s
bits: 8, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 11.6741 s, avg_capacity: 51.40 bits/s, 95% CI: [51.10, 51.69] bits/s
bits: 8, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 15.3037 s, avg_capacity: 39.21 bits/s, 95% CI: [39.00, 39.41] bits/s
bits: 8, delay: 0.0 s, msg_length: 141 bytes, avg_elapsed: 8.3356 s, avg_capacity: 135.32 bits/s, 95% CI: [134.66, 135.98] bits/s
bits: 8, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 21.3806 s, avg_capacity: 52.76 bits/s, 95% CI: [52.35, 53.17] bits/s
bits: 8, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 28.3113 s, avg_capacity: 39.84 bits/s, 95% CI: [39.55, 40.14] bits/s
bits: 8, delay: 0.0 s, msg_length: 299 bytes, avg_elapsed: 16.8828 s, avg_capacity: 141.71 bits/s, 95% CI: [138.74, 144.68] bits/s
bits: 8, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 43.8644 s, avg_capacity: 54.53 bits/s, 95% CI: [54.25, 54.82] bits/s
bits: 8, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 58.9632 s, avg_capacity: 40.57 bits/s, 95% CI: [40.53, 40.61] bits/s
bits: 11, delay: 0.0 s, msg_length: 21 bytes, avg_elapsed: 1.4358 s, avg_capacity: 117.10 bits/s, 95% CI: [112.19, 122.01] bits/s
bits: 11, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 2.8537 s, avg_capacity: 58.87 bits/s, 95% CI: [58.39, 59.35] bits/s
bits: 11, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 3.6916 s, avg_capacity: 45.51 bits/s, 95% CI: [44.90, 46.12] bits/s
bits: 11, delay: 0.0 s, msg_length: 75 bytes, avg_elapsed: 3.6108 s, avg_capacity: 166.29 bits/s, 95% CI: [159.54, 173.04] bits/s
bits: 11, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 8.5973 s, avg_capacity: 69.80 bits/s, 95% CI: [68.64, 70.96] bits/s
bits: 11, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 11.3469 s, avg_capacity: 52.88 bits/s, 95% CI: [52.50, 53.26] bits/s
bits: 11, delay: 0.0 s, msg_length: 141 bytes, avg_elapsed: 6.2000 s, avg_capacity: 182.01 bits/s, 95% CI: [176.45, 187.57] bits/s
bits: 11, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 15.5720 s, avg_capacity: 72.44 bits/s, 95% CI: [71.76, 73.12] bits/s
bits: 11, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 20.7125 s, avg_capacity: 54.46 bits/s, 95% CI: [54.18, 54.75] bits/s
bits: 11, delay: 0.0 s, msg_length: 299 bytes, avg_elapsed: 12.5631 s, avg_capacity: 190.40 bits/s, 95% CI: [189.67, 191.13] bits/s
bits: 11, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 32.2634 s, avg_capacity: 74.14 bits/s, 95% CI: [73.57, 74.72] bits/s
bits: 11, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 43.3510 s, avg_capacity: 55.18 bits/s, 95% CI: [54.79, 55.56] bits/s
bits: 16, delay: 0.0 s, msg_length: 21 bytes, avg_elapsed: 1.2120 s, avg_capacity: 138.93 bits/s, 95% CI: [128.78, 149.09] bits/s
bits: 16, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 2.1883 s, avg_capacity: 76.80 bits/s, 95% CI: [74.44, 79.17] bits/s
bits: 16, delay: 0.1 s, msg_length: 21 bytes, avg_elapsed: 2.7382 s, avg_capacity: 61.36 bits/s, 95% CI: [60.46, 62.26] bits/s
bits: 16, delay: 0.0 s, msg_length: 75 bytes, avg_elapsed: 2.7289 s, avg_capacity: 219.88 bits/s, 95% CI: [217.39, 222.37] bits/s
bits: 16, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 6.1037 s, avg_capacity: 98.31 bits/s, 95% CI: [96.88, 99.74] bits/s
bits: 16, delay: 0.1 s, msg_length: 75 bytes, avg_elapsed: 7.9808 s, avg_capacity: 75.18 bits/s, 95% CI: [74.39, 75.97] bits/s
bits: 16, delay: 0.0 s, msg_length: 141 bytes, avg_elapsed: 4.4596 s, avg_capacity: 252.95 bits/s, 95% CI: [250.72, 255.17] bits/s
bits: 16, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 10.8522 s, avg_capacity: 103.95 bits/s, 95% CI: [102.96, 104.93] bits/s
bits: 16, delay: 0.1 s, msg_length: 141 bytes, avg_elapsed: 14.4513 s, avg_capacity: 78.06 bits/s, 95% CI: [77.55, 78.57] bits/s
bits: 16, delay: 0.0 s, msg_length: 299 bytes, avg_elapsed: 8.9140 s, avg_capacity: 268.35 bits/s, 95% CI: [265.73, 270.97] bits/s
bits: 16, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 22.3323 s, avg_capacity: 107.11 bits/s, 95% CI: [106.44, 107.79] bits/s
bits: 16, delay: 0.1 s, msg_length: 299 bytes, avg_elapsed: 29.9707 s, avg_capacity: 79.81 bits/s, 95% CI: [79.65, 79.97] bits/s
