bits=3, entropy=0.10, msg_len=21, detector=0.67, correct=0.00
bits=3, entropy=0.10, msg_len=75, detector=1.00, correct=0.00
bits=3, entropy=0.10, msg_len=141, detector=1.00, correct=0.00
bits=4, entropy=0.10, msg_len=21, detector=1.00, correct=0.00
bits=4, entropy=0.10, msg_len=75, detector=1.00, correct=0.00
bits=4, entropy=0.10, msg_len=141, detector=1.00, correct=0.00
bits=6, entropy=0.10, msg_len=21, detector=1.00, correct=0.00
bits=6, entropy=0.10, msg_len=75, detector=1.00, correct=0.00
bits=6, entropy=0.10, msg_len=141, detector=1.00, correct=0.00
bits=8, entropy=0.10, msg_len=21, detector=1.00, correct=0.00
bits=8, entropy=0.10, msg_len=75, detector=1.00, correct=0.00
bits=8, entropy=0.10, msg_len=141, detector=1.00, correct=0.00
bits=11, entropy=0.10, msg_len=21, detector=1.00, correct=0.00
bits=11, entropy=0.10, msg_len=75, detector=1.00, correct=0.00
bits=11, entropy=0.10, msg_len=141, detector=1.00, correct=0.00
bits=16, entropy=0.10, msg_len=21, detector=1.00, correct=0.00
bits=16, entropy=0.10, msg_len=75, detector=1.00, correct=0.00
bits=16, entropy=0.10, msg_len=141, detector=1.00, correct=0.00
bits=3, entropy=0.20, msg_len=21, detector=0.67, correct=0.00
bits=3, entropy=0.20, msg_len=75, detector=1.00, correct=0.00
bits=3, entropy=0.20, msg_len=141, detector=1.00, correct=0.00
bits=4, entropy=0.20, msg_len=21, detector=1.00, correct=0.00
bits=4, entropy=0.20, msg_len=75, detector=1.00, correct=0.00
bits=4, entropy=0.20, msg_len=141, detector=1.00, correct=0.00
bits=6, entropy=0.20, msg_len=21, detector=1.00, correct=0.00
bits=6, entropy=0.20, msg_len=75, detector=1.00, correct=0.00
bits=6, entropy=0.20, msg_len=141, detector=1.00, correct=0.00
bits=8, entropy=0.20, msg_len=21, detector=1.00, correct=0.00
bits=8, entropy=0.20, msg_len=75, detector=1.00, correct=0.00
bits=8, entropy=0.20, msg_len=141, detector=1.00, correct=0.00
bits=11, entropy=0.20, msg_len=21, detector=1.00, correct=0.00
bits=11, entropy=0.20, msg_len=75, detector=1.00, correct=0.00
bits=11, entropy=0.20, msg_len=141, detector=1.00, correct=0.00
bits=16, entropy=0.20, msg_len=21, detector=1.00, correct=0.00
bits=16, entropy=0.20, msg_len=75, detector=1.00, correct=0.00
bits=16, entropy=0.20, msg_len=141, detector=1.00, correct=0.00
bits=3, entropy=0.30, msg_len=21, detector=0.67, correct=0.00
bits=3, entropy=0.30, msg_len=75, detector=1.00, correct=0.00
bits=3, entropy=0.30, msg_len=141, detector=1.00, correct=0.00
bits=4, entropy=0.30, msg_len=21, detector=1.00, correct=0.00
bits=4, entropy=0.30, msg_len=75, detector=1.00, correct=0.00
bits=4, entropy=0.30, msg_len=141, detector=1.00, correct=0.00
bits=6, entropy=0.30, msg_len=21, detector=1.00, correct=0.33
bits=6, entropy=0.30, msg_len=75, detector=1.00, correct=0.00
bits=6, entropy=0.30, msg_len=141, detector=1.00, correct=0.00
bits=8, entropy=0.30, msg_len=21, detector=1.00, correct=0.00
bits=8, entropy=0.30, msg_len=75, detector=1.00, correct=0.00
bits=8, entropy=0.30, msg_len=141, detector=1.00, correct=0.00
bits=11, entropy=0.30, msg_len=21, detector=1.00, correct=0.00
bits=11, entropy=0.30, msg_len=75, detector=1.00, correct=0.00
bits=11, entropy=0.30, msg_len=141, detector=1.00, correct=0.00
bits=16, entropy=0.30, msg_len=21, detector=1.00, correct=0.00
bits=16, entropy=0.30, msg_len=75, detector=1.00, correct=0.00
bits=16, entropy=0.30, msg_len=141, detector=1.00, correct=0.00
bits=3, entropy=0.40, msg_len=21, detector=0.67, correct=0.00
bits=3, entropy=0.40, msg_len=75, detector=1.00, correct=0.00
bits=3, entropy=0.40, msg_len=141, detector=1.00, correct=0.00
bits=4, entropy=0.40, msg_len=21, detector=0.33, correct=0.00
bits=4, entropy=0.40, msg_len=75, detector=0.67, correct=0.00
bits=4, entropy=0.40, msg_len=141, detector=1.00, correct=0.00
bits=6, entropy=0.40, msg_len=21, detector=1.00, correct=0.67
bits=6, entropy=0.40, msg_len=75, detector=1.00, correct=0.33
bits=6, entropy=0.40, msg_len=141, detector=1.00, correct=0.00
bits=8, entropy=0.40, msg_len=21, detector=1.00, correct=0.33
bits=8, entropy=0.40, msg_len=75, detector=1.00, correct=0.00
bits=8, entropy=0.40, msg_len=141, detector=1.00, correct=0.00
bits=11, entropy=0.40, msg_len=21, detector=1.00, correct=0.00
bits=11, entropy=0.40, msg_len=75, detector=1.00, correct=0.00
bits=11, entropy=0.40, msg_len=141, detector=1.00, correct=0.00
bits=16, entropy=0.40, msg_len=21, detector=1.00, correct=0.00
bits=16, entropy=0.40, msg_len=75, detector=0.33, correct=0.00
bits=16, entropy=0.40, msg_len=141, detector=0.67, correct=0.00
